-67	-57	-64	-68	-75	-82	-82	1
-68	-55	-73	-65	-76	-82	-82	1
-68	-55	-67	-70	-76	-82	-81	1
-38	-57	-61	-38	-69	-73	-70	2
-39	-62	-58	-37	-69	-73	-72	2
-35	-58	-61	-38	-67	-71	-71	2
-47	-64	-53	-54	-60	-83	-84	3
-45	-63	-57	-55	-58	-79	-85	3
-45	-63	-57	-53	-57	-81	-84	3
-54	-46	-48	-55	-48	-84	-85	4
-58	-53	-44	-62	-52	-84	-88	4
-61	-52	-48	-61	-45	-90	-88	4
-57	-51	-47	-61	-50	-90	-88	4
-58	-56	-51	-65	-53	-87	-87	4
-62	-53	-52	-59	-48	-87	-92	4
-63	-54	-52	-59	-44	-86	-92	4
-57	-58	-52	-66	-46	-86	-90	4
-61	-60	-52	-57	-51	-91	-86	4
-61	-59	-52	-55	-48	-91	-84	4
-61	-57	-51	-56	-46	-88	-85	4
-60	-57	-52	-59	-47	-88	-85	4
-61	-58	-53	-57	-45	-86	-90	4
-58	-58	-51	-57	-49	-86	-90	4
